reaction_id	module	interaction	cited_pmid_WRONG	cited_paper_title	proposed_replacement_pmids	rationale
ssc_M2_005	M2	SMAD3_p cyto;SMAD4 cyto→SMAD3p_SMAD4 nuc	9748228	Specific activation of Smad1 signaling pathways by the BMP7 type I receptor, ALK2.	16319104	pSMAD3:SMAD4 oligomerise and enter the nucleus — canonical; cited PMID 9748228 concerns BMP7/activin Smads (tangential). Replace with a TGF-β/SMAD3 reference.
ssc_M2_006	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→COL1A1 ext	10497222	Cloning and characterization of the human protein kinase C-eta promoter.	16319104	SMAD3:SMAD4 induces COL1A1 — textbook SSc fibrosis biology, but cited PMID 10497222 is unrelated (PKC-eta gene cloning). The M2_023 paper (16319104, Smad3/Sp1 collagen in SSc) is an apt replacement.
ssc_M2_007	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→COL3A1 ext	10497222	Cloning and characterization of the human protein kinase C-eta promoter.	16319104	SMAD3:SMAD4 induces COL3A1 — sound, but cited PMID 10497222 is unrelated (PKC-eta). Replace citation.
ssc_M2_008	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→FN1 ecm	10497222	Cloning and characterization of the human protein kinase C-eta promoter.	16319104	SMAD3:SMAD4 induces fibronectin (FN1) — sound, but cited PMID 10497222 is unrelated (PKC-eta). Replace citation.
ssc_M2_009	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→ACTA2 cyto	8616204	Food intakes of adult Melbourne Chinese.	16319104	SMAD3:SMAD4 induces ACTA2/αSMA — sound, but cited PMID 8616204 is unrelated (Melbourne food survey). Replace citation.
ssc_M2_010	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→CCN2 ext	16007098	Diverse polyubiquitin interaction properties of ubiquitin-associated domains.	27734393;11698729	SMAD3:SMAD4 induces CTGF/CCN2 — sound, but cited PMID 16007098 is unrelated (ubiquitin-associated domain survey). Dossier 27734393 (CCN2 in skin fibrosis) / 11698729 (TGF-β & CTGF in scleroderma) are apt.
ssc_M2_011	M2	CCN2 ext→fibroblast_proFibrotic cell	16007098	Diverse polyubiquitin interaction properties of ubiquitin-associated domains.	27734393;28488090	Autocrine CTGF/CCN2 amplifies the pro-fibrotic fibroblast — sound (pamrevlumab rationale), but cited PMID 16007098 is unrelated (ubiquitin domain). Replace with 27734393 / 28488090.
ssc_M2_012	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→POSTN ecm	22186371	The RootChip: an integrated microfluidic chip for plant science.		SMAD3:SMAD4 induces POSTN — plausible, but cited PMID 22186371 is unrelated (Arabidopsis roots). Replace citation.
ssc_M2_013	M2	SMAD3p_SMAD4 nuc;SMAD3p_SMAD4 nuc→COMP ecm	22197582	How diverse was the leisure time physical activity of older Australians over the past decade?	34282151	SMAD3:SMAD4 induces COMP — plausible (COMP is an SSc skin marker), but cited PMID 22197582 is unrelated (older-adult physical activity survey). Replace citation.
ssc_M2_017	M2	YAP1_TAZ_active nuc;YAP1_TAZ_active nuc→ACTA2 cyto;CCN2 ext	21343339	Functional analysis of KAP1 genomic recruitment.		YAP/TAZ induce ACTA2 + CTGF — established mechanotransduction biology, but cited PMID 21343339 is unrelated (TRIM28/KAP1). Replace citation.
ssc_M3_001	M3	EDN1 ext;EDNRA pm;EDNRB pm→EDN1_EDNRA_complex pm	8389755	Identification of a promiscuous inflammatory peptide receptor on the surface of red blood cells.		ET-1 binds EDNRA/EDNRB — canonical endothelin biology, but the cited PMID 8389755 is unrelated (erythrocyte chemokine binding). Replace citation (e.g. an endothelin-receptor reference).
ssc_M3_010	M3	SMAD3p_SMAD4 nuc;NICD1 cyto;SMAD3p_SMAD4 nuc;NICD1 cyto→SNAI2 nuc;ZEB1 nuc	24316708	Influence of occlusal loading on peri-implant clinical parameters. A pilot study.		SMAD3 + Notch (NICD1) cooperatively induce SNAI2/ZEB1 — supported EMT/EndMT biology, but the cited PMID 24316708 is unrelated (peri-implant occlusal loading). Replace citation.
ssc_M4_003	M4	IL4_IL4R_complex pm;IL13_complex pm;JAK1 cyto;JAK2 cyto→STAT6_p cyto	11526389	Autoimmunity provoked by infection: how good is the case for T cell epitope mimicry?	29930549	IL-4R/IL-13R complexes signal via JAK1/JAK2 to phosphorylate STAT6 — canonical JAK/STAT biology, but the cited PMID 11526389 is unrelated (essay on autoimmunity/infection). Replace citation.
ssc_M4_005	M4	STAT6_p_dimer nuc;STAT6_p_dimer nuc→COL1A1 ext;COL3A1 ext;FN1 ecm	17050694	Cdc42 deficiency causes Sonic hedgehog-independent holoprosencephaly.	36757802	Nuclear STAT6 induces ECM genes (COL1A1/COL3A1/FN1) in fibroblasts (IL-13→fibrosis) — supported biology (dossier 36757802 keloid JAK/STAT6 fibrosis), but the cited PMID 17050694 is unrelated (telencephalic neuroepithelium). Replace citation.
ssc_M4_010	M4	TNFSF13B ext;BCMA ext→BAFF_BCMA_complex pm	11226167	Solution structure of the PHD domain from the KAP-1 corepressor: structural determinants for PHD, RING and LIM zinc-binding domains.	10801128	BAFF (TNFSF13B) binds BCMA on plasma cells — established, but the cited PMID 11226167 is unrelated (PHD zinc-finger domain structure). Dossier 10801128 ('TACI and BCMA are receptors for' BAFF) is a precise replacement.
ssc_crosstalk_004	crosstalk	IL6 ext;STAT3 cyto→fibroblast_proFibrotic cell;COL1A1 ext	27156434	Rheumatoid arthritis.	24550394;35628356	IL-6→STAT3→pro-fibrotic fibroblast/COL1A1 is well-supported (dossier 35628356 STAT3→COL1A1/FN1 in fibroblasts; map's own 24550394 IL-6→collagen in SSc) and underpins the tocilizumab/focuSSced rationale — BUT the cited PMID 27156434 is a generic Rheumatoid-arthritis seminar (wrong reference). Replace with 24550394.
ssc_crosstalk_005	crosstalk	IL13 ext;STAT6 cyto→COL1A1 ext;FN1 ecm	17050694	Cdc42 deficiency causes Sonic hedgehog-independent holoprosencephaly.		IL-13/STAT6→COL1A1/FN1 (Th2→fibroblast ECM, romilkimab rationale) is established biology, but the cited PMID 17050694 is unrelated (telencephalic neuroepithelium / Cdc42). Replace with a real IL-13/STAT6 fibrosis reference.
ssc_crosstalk_008	crosstalk	TGFB1 ext→CCN2 ext;fibroblast_proFibrotic cell	16007098	Diverse polyubiquitin interaction properties of ubiquitin-associated domains.	27734393;11698729	TGF-β1→CTGF/CCN2 autocrine amplifier loop is textbook fibrosis biology, but the cited PMID 16007098 is unrelated (ubiquitin-associated domain survey). Replace with 27734393 (CCN2 in skin fibrosis) / 11698729 (TGF-β & CTGF in scleroderma).
